MVID,MVNAME,OBO,OPG_DATE,TOTAL_0_UNAIDED AWARENESS,MU25_0_UNAIDED AWARENESS,MO25_0_UNAIDED AWARENESS,FU25_0_UNAIDED AWARENESS,FO25_0_UNAIDED AWARENESS,CAUC_0_UNAIDED AWARENESS,AF-AM_0_UNAIDED AWARENESS,LATINO_0_UNAIDED AWARENESS,ASN_OTHER_0_UNAIDED AWARENESS,TOTAL_0_TOTAL AWARENESS,MU25_0_TOTAL AWARENESS,MO25_0_TOTAL AWARENESS,FU25_0_TOTAL AWARENESS,FO25_0_TOTAL AWARENESS,CAUC_0_TOTAL AWARENESS,AF-AM_0_TOTAL AWARENESS,LATINO_0_TOTAL AWARENESS,ASN_OTHER_0_TOTAL AWARENESS,TOTAL_0_DEFINITE INTERST,MU25_0_DEFINITE INTERST,MO25_0_DEFINITE INTERST,FU25_0_DEFINITE INTERST,FO25_0_DEFINITE INTERST,CAUC_0_DEFINITE INTERST,AF-AM_0_DEFINITE INTERST,LATINO_0_DEFINITE INTERST,ASN_OTHER_0_DEFINITE INTERST,TOTAL_0_FIRST CHOICE,MU25_0_FIRST CHOICE,MO25_0_FIRST CHOICE,FU25_0_FIRST CHOICE,FO25_0_FIRST CHOICE,CAUC_0_FIRST CHOICE,AF-AM_0_FIRST CHOICE,ASN_OTHER_0_FIRST CHOICE,LATINO_0_FIRST CHOICE,TOTAL_0_FC_OP_REL,MU25_0_FC_OP_REL,MO25_0_FC_OP_REL,FU25_0_FC_OP_REL,FO25_0_FC_OP_REL,CAUC_0_FC_OP_REL,AF-AM_0_FC_OP_REL,LATINO_0_FC_OP_REL,ASN_OTHER_0_FC_OP_REL,TOTAL_0_UNAID INTENT,MU25_0_UNAID INTENT,MO25_0_UNAID INTENT,FU25_0_UNAID INTENT,FO25_0_UNAID INTENT,CAUC_0_UNAID INTENT,AF-AM_0_UNAID INTENT,LATINO_0_UNAID INTENT,ASN_OTHER_0_UNAID INTENT,CRITICSCORE,SCRNS,RATING_G,RATING_PG,RATING_PG-13,RATING_R,GENRE_ACTION ADVENTURE,GENRE_ACTION COMEDY,GENRE_ACTION DRAMA,GENRE_FAMILY,GENRE_HORROR,GENRE_HUMN INTST CMDY,GENRE_HUMN INTST DRMA,GENRE_ROMANTIC COMEDY,GENRE_ROMANTIC DRAMA,GENRE_SUSPNS/THRILLER,GENRE_ZANY COMEDY,GENRE_2_HIGH,GENRE_2_LOW,CAST_ANI CAST,CAST_KNOWN CAST,CAST_STAR CAST,CAST_UNKNOWN CAST,SEQUEL_NON-SEQUEL,SEQUEL_SEQUEL,MONTH_1,MONTH_2,MONTH_3,MONTH_4,MONTH_5,MONTH_6,MONTH_7,MONTH_8,MONTH_9,MONTH_10,MONTH_11,MONTH_12,STUDIO_GROUP_BIG,STUDIO_GROUP_SMALL,HowMany_LastWeek,HowMany_ThisWeek,HowMany_NextWeek,LastWeek_Big,LastWeek_Small
46678,In the Heart of the Sea,11053366,12/11/2015,13,11,13,12,13,13,13,13,13,62,55,70,55,68,63,58,61,67,34,36,34,33,34,32,37,37,35,4,3,3,3,5,3,4,11,2,10,10,12,9,11,12,7,5,21,2,1,2,1,3,2,2,2,3,41,3103,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,1,3,0,0
46680,Passengers (2016),22390906,12/21/2016,21,20,21,22,21,22,20,19,21,77,72,77,77,80,78,74,77,75,44,43,45,42,47,44,46,48,39,9,7,11,10,8,10,5,16,6,8,5,10,9,9,8,6,7,16,6,5,5,6,7,7,5,3,8,31,3478,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,2,5,0,1,1
46739,"Mummy, The (2017)",31668375,6/9/2017,28,24,29,28,28,25,29,31,38,90,88,93,89,88,89,92,89,91,44,48,48,40,38,43,46,45,44,9,8,12,7,9,8,13,14,11,15,16,18,12,12,12,22,17,20,9,7,11,8,9,8,12,10,18,16,4035,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,2,3,4,1,0
46748,Jason Bourne,59215365,7/29/2016,25,25,31,20,24,25,25,24,27,82,83,90,70,86,83,80,80,83,50,53,61,36,47,48,64,49,45,15,16,24,7,11,15,17,15,13,19,23,29,8,15,18,25,18,21,6,6,13,1,6,6,7,5,5,56,4026,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,3,3,2,1,0
46794,X-Men: Apocalypse,79810133,5/27/2016,36,37,40,30,36,36,42,33,36,92,97,95,90,89,91,97,92,93,63,69,67,54,62,60,71,69,60,22,22,32,16,18,20,31,16,23,27,28,39,20,21,24,37,27,24,14,15,21,8,13,13,19,15,16,48,4150,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,3,2,3,0,0
46797,San Andreas,54588173,5/29/2015,24,25,26,22,24,24,26,25,23,84,87,91,78,82,83,85,87,86,48,48,55,41,46,44,56,52,46,14,15,14,8,16,12,17,13,15,19,21,23,10,22,17,26,19,17,10,10,13,5,10,10,8,10,8,50,3777,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,2,2,3,0,0
46866,Pan,15315435,10/9/2015,29,28,28,31,28,28,28,26,40,80,79,81,80,82,82,74,80,79,41,37,36,47,43,40,41,45,31,7,7,5,9,7,8,6,6,6,12,11,9,14,13,12,11,14,6,5,5,5,7,6,5,5,6,6,25,3515,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,2,2,4,1,0
46900,"Divergent Series: Allegiant, The",29027348,3/18/2016,18,15,14,25,21,19,18,17,28,82,79,77,90,83,84,74,78,87,49,47,44,59,46,51,52,43,44,9,7,5,17,6,9,8,9,6,17,14,15,28,13,19,16,13,11,5,3,4,10,5,6,4,3,5,11,3740,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,1,0,3,2,2,0,2
46901,Gods of Egypt,14123903,2/26/2016,12,12,12,12,12,11,13,12,13,69,71,80,60,67,69,68,72,71,35,37,37,32,32,33,40,40,29,5,6,6,3,4,5,5,7,5,8,8,10,6,8,7,9,8,13,4,3,4,2,4,3,4,4,5,13,3117,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,3,3,3,0,2
46925,Ice Age: Collision Course,21373064,7/22/2016,20,21,20,20,20,20,19,19,24,89,90,86,91,89,89,90,88,89,39,39,34,41,43,38,42,42,40,4,6,3,7,4,4,4,6,7,8,9,7,11,8,9,9,7,7,3,3,2,3,5,3,3,4,3,12,3992,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,2,3,3,0,1
