MVNAME,OBO,WD,UA_0.5W_T,UA_0.5W_M24,UA_0.5W_M26,UA_0.5W_F24,UA_0.5W_F26,TA_0.5W_T,TA_0.5W_M24,TA_0.5W_M26,TA_0.5W_F24,TA_0.5W_F26,DI_0.5W_T,DI_0.5W_M24,DI_0.5W_M26,DI_0.5W_F24,DI_0.5W_F26,FC_0.5W_T,FC_0.5W_M24,FC_0.5W_M26,FC_0.5W_F24,FC_0.5W_F26,FCO_0.5W_T,FCO_0.5W_M24,FCO_0.5W_M26,FCO_0.5W_F24,FCO_0.5W_F26,NM_0.5W_T,NM_0.5W_M24,NM_0.5W_M26,NM_0.5W_F24,NM_0.5W_F26,Year,MVID,GENRE1,GENRE2,STUDIO,RATING,DATE,MONTH,WKNDDAY,WKNM,WKNDGRS,WKGRS,SCRNS,PER_SCN,RANK,HOLIDAY,PERCENT,GRS,WW_GRS
JERSEY BOYS,13.3,3,14,10,17,11,17,75,69,81,67,83,26,20,33,20,30,10,4,15,6,14,10,4,16,6,16,NA,NA,NA,NA,NA,2014,43687,HUMN INTST DRMA,BIOGRAPHICAL,WARNER BROS.,R,6/20/2014 1:00,6,3,1,13319371,19732486,2905,4585,4,NA,NA,47034272,NA
JIGSAW,16.6,3,26,31,25,32,22,72,82,73,74,65,41,49,43,44,31,9,10,10,11,6,20,28,20,23,14,7,11,5,9,5,2017,68032,HORROR,PSYCHOLOGICAL,LIONS GATE FILMS,R,10/27/2017 1:00,10,3,1,16640452,22136471,2941,5658,1,NA,NA,38001078,NA
JOBS,6.7,3,12,13,11,12,12,78,74,78,82,81,36,37,35,34,38,7,8,7,8,7,9,9,9,9,8,NA,NA,NA,NA,NA,2013,44216,HUMN INTST DRMA,BIOGRAPHICAL,OPEN ROAD FILMS,PG-13,8/16/2013 1:00,8,3,1,6713900,9143287,2381,2820,7,NA,NA,16117443,NA
JOHN WICK,14.4,3,16,16,20,14,13,56,59,73,43,51,38,40,46,30,30,6,7,6,3,5,9,11,14,4,7,NA,NA,NA,NA,NA,2014,47644,ACTION DRAMA,CRIME THEME,LIONS GATE FILMS,R,10/24/2014 1:00,10,3,1,14415922,19539126,2589,5568,2,NA,NA,43032689,NA
JOHN WICK: CHAPTER 2,30.4,3,22,21,32,16,19,72,79,83,58,69,49,51,58,42,42,10,10,17,6,7,15,14,27,7,12,5,5,10,3,3,2017,63610,ACTION DRAMA,CRIME THEME,LIONS GATE FILMS,R,2/10/2017 0:00,2,3,1,30436123,42192083,3113,9777,3,NA,NA,91970516,NA
JOY,17,3,18,11,14,24,24,74,68,71,77,79,33,24,27,37,44,6,2,3,8,10,7,3,3,8,10,3,2,1,6,5,2015,48606,HUMN INTST DRMA,BIOGRAPHICAL,20TH CENTURY FOX,PG-13,12/25/2015 0:00,12,3,1,17015168,28310094,2896,5875,3,CHRISTMAS,NA,56443482,NA
JUMANJI: WELCOME TO THE JUNGLE,55.3,4,41,40,37,44,43,95,91,96,98,96,52,57,46,59,54,17,21,15,21,14,23,25,22,26,22,14,13,13,15,14,2017,64484,FAMILY,LIVE ACTION,COLUMBIA PICTURES,PG-13,12/20/2017 0:00,12,4,1,55307881,142098913,3765,14690,2,CHRISTMAS,0,337802077,NA
JUPITER ASCENDING,18.4,3,19,17,21,17,20,77,75,82,75,76,49,53,50,48,43,12,12,14,11,9,22,17,30,21,22,NA,NA,NA,NA,NA,2015,44106,ACTION DRAMA,SCIENCE FICTION,WARNER BROS.,PG-13,2/6/2015 0:00,2,3,1,18372372,23121146,3181,5776,3,NA,NA,47375327,NA
JURASSIC PARK 3D,18.6,3,16,17,16,14,16,86,89,86,83,86,33,40,28,34,30,7,9,5,8,6,12,15,10,12,10,NA,NA,NA,NA,NA,2013,42129,ACTION ADVENTURE,SCIENCE FICTION,UNIVERSAL,PG-13,4/5/2013 1:00,4,3,1,18620145,23109165,2771,6720,4,NA,NA,45299680,NA
JURASSIC WORLD,208.8,3,45,45,41,47,49,99,100,99,97,100,69,71,69,66,70,35,41,34,31,35,53,60,53,45,53,27,26,27,25,31,2015,25005,ACTION ADVENTURE,SCIENCE FICTION,UNIVERSAL,PG-13,6/12/2015 1:00,6,3,1,208806270,296211655,4274,48855,1,NA,NA,652177270,NA
JUST GETTING STARTED,3.2,3,4,3,6,2,5,41,36,47,29,43,32,33,30,31,34,2,0,4,0,3,10,9,13,4,11,1,1,1,0,0,2017,68513,HUMN INTST CMDY,BUDDY,BROAD GREEN PICTURES,PG-13,12/8/2017 0:00,12,3,1,3201459,4485477,2161,1481,10,NA,0,5493590,NA
JUSTICE LEAGUE,93.8,3,45,46,46,45,44,94,95,95,93,91,61,67,68,58,49,26,36,34,20,14,31,40,39,26,20,20,25,22,17,15,2017,49164,ACTION ADVENTURE,SUPERHERO,WARNER BROS.,PG-13,11/17/2017 0:00,11,3,1,93842239,130813383,4051,23165,1,NA,0,228050134,NA
KEANU,9.5,3,16,14,19,17,15,62,61,69,58,60,36,44,33,35,32,6,6,6,6,6,11,11,12,11,10,3,4,2,4,3,2016,63788,ZANY COMEDY,CRIME THEME,WARNER BROS.,R,4/29/2016 1:00,4,3,1,9453224,12020937,2658,3557,3,NA,NA,20566327,NA
KEVIN HART: LET ME EXPLAIN,10,3,3,2,2,4,3,35,39,34,36,29,38,38,29,45,39,3,3,3,4,3,4,4,5,5,4,NA,NA,NA,NA,NA,2013,44132,DOCUMENTARY,CONCERT FILM,LIONS GATE FILMS,R,7/3/2013 1:00,7,3,1,10030463,21378309,876,11450,8,FOURTH OF JULY,NA,32230907,NA
KICK-ASS 2,13.3,3,21,25,21,21,18,79,87,81,84,69,41,51,39,37,33,9,14,8,9,5,15,21,14,13,9,NA,NA,NA,NA,NA,2013,41098,ACTION COMEDY,SUPERHERO,UNIVERSAL,R,8/16/2013 1:00,8,3,1,13332955,18153135,2940,4535,5,NA,NA,28751715,NA
