MVNAME,OBO,WD,UA_0.5W_T,UA_0.5W_M24,UA_0.5W_M26,UA_0.5W_F24,UA_0.5W_F26,TA_0.5W_T,TA_0.5W_M24,TA_0.5W_M26,TA_0.5W_F24,TA_0.5W_F26,DI_0.5W_T,DI_0.5W_M24,DI_0.5W_M26,DI_0.5W_F24,DI_0.5W_F26,FC_0.5W_T,FC_0.5W_M24,FC_0.5W_M26,FC_0.5W_F24,FC_0.5W_F26,FCO_0.5W_T,FCO_0.5W_M24,FCO_0.5W_M26,FCO_0.5W_F24,FCO_0.5W_F26,NM_0.5W_T,NM_0.5W_M24,NM_0.5W_M26,NM_0.5W_F24,NM_0.5W_F26,Year,MVID,GENRE1,GENRE2,STUDIO,RATING,DATE,MONTH,WKNDDAY,WKNM,WKNDGRS,WKGRS,SCRNS,PER_SCN,RANK,HOLIDAY,PERCENT,GRS,WW_GRS
PHOENIX FORGOTTEN,1.8,3,3,4,3,2,2,28,33,27,26,29,29,32,31,28,26,1,1,1,1,0,2,2,3,2,2,0,1,0,0,0,2017,69085,HORROR,SCIENCE FICTION,CINELOU FILMS,PG-13,4/21/2017 1:00,4,3,1,1816499,2361486,1633,1112,11,NA,NA,3599570,NA
PIRATES OF THE CARIBBEAN: DEAD MEN TELL NO TALES,78.5,4,35,31,32,37,40,97,97,97,97,98,56,56,55,56,56,19,17,18,19,20,35,33,36,32,36,12,11,11,13,12,2017,44204,ACTION ADVENTURE,ENSEMBLE CAST,DISNEY,PG-13,5/26/2017 1:00,5,4,1,78476767,93008771,4276,18353,1,MEMORIAL DAY,NA,172537139,NA
PITCH PERFECT 2,69.2,3,33,27,22,46,36,89,85,80,96,95,47,38,28,64,52,14,5,5,30,17,23,12,9,45,27,13,5,5,25,15,2015,45055,HUMN INTST CMDY,MUSIC-THEMED,UNIVERSAL,PG-13,5/15/2015 1:00,5,3,1,69216890,86886595,3473,19930,1,NA,NA,183692485,NA
PITCH PERFECT 3,26.4,4,20,15,13,36,23,88,86,84,93,91,35,29,21,59,42,8,5,2,19,13,11,8,3,28,15,6,3,1,13,8,2017,63997,HUMN INTST CMDY,MUSIC-THEMED,UNIVERSAL,PG-13,12/22/2017 0:00,12,4,1,26424890,54081090,3447,7666,3,CHRISTMAS,0,102718890,NA
PIXELS,24,3,27,26,25,28,28,87,88,88,84,87,42,45,36,43,44,9,11,8,10,8,14,16,12,15,13,8,10,4,8,9,2015,41403,ACTION COMEDY,SCIENCE FICTION,SONY PICTURES,PG-13,7/24/2015 1:00,7,3,1,24011616,35211497,3723,6450,2,NA,NA,78747585,NA
PLANES,22.2,3,24,21,20,26,28,82,81,80,81,86,35,29,37,31,41,5,4,4,4,6,8,8,8,5,10,NA,NA,NA,NA,NA,2013,41910,FAMILY,ANIMATED,DISNEY,PG,8/9/2013 1:00,8,3,1,22232291,31949868,3702,6005,3,NA,NA,90282580,NA
PLANES: FIRE & RESCUE,17.5,3,23,22,21,22,26,80,74,83,81,81,26,22,24,23,34,4,4,2,5,6,9,8,8,11,12,NA,NA,NA,NA,NA,2014,43952,FAMILY,ANIMATED,DISNEY,PG,7/18/2014 1:00,7,3,1,17509407,25817822,3826,4576,3,NA,NA,59157732,NA
POINT BREAK (2015),9.8,3,15,16,17,14,12,68,73,83,50,66,32,36,36,29,25,4,2,10,3,4,6,5,13,2,3,3,3,4,1,2,2015,48385,ACTION DRAMA,CRIME THEME,WARNER BROS.,PG-13,12/25/2015 0:00,12,3,1,9800252,15584535,2910,3368,8,CHRISTMAS,NA,28772222,NA
POLTERGEIST (2015),26.3,4,19,19,16,20,19,83,87,81,84,80,35,38,35,35,33,6,6,5,8,6,15,15,12,17,18,4,4,3,4,4,2015,47092,HORROR,SUPERNATURAL,20TH CENTURY FOX,PG-13,5/22/2015 1:00,5,4,1,26341432,30466646,3240,8130,5,MEMORIAL DAY,NA,47415690,NA
POMPEII,10.3,3,16,19,16,13,15,67,71,71,65,63,36,36,39,36,36,7,5,10,7,6,14,12,18,13,14,NA,NA,NA,NA,NA,2014,44887,ACTION DRAMA,DISASTER,SONY PICTURES,PG-13,2/21/2014 0:00,2,3,1,10340823,13435684,2658,3890,3,NA,NA,23091127,NA
POPSTAR: NEVER STOP NEVER STOPPING,4.7,3,7,8,5,8,5,48,52,50,50,42,23,23,23,27,21,2,1,2,2,3,4,5,4,3,4,1,1,0,1,1,2016,63940,ZANY COMEDY,MUSIC-THEMED,UNIVERSAL,R,6/3/2016 1:00,6,3,1,4698715,6631280,2311,2033,8,NA,NA,9393835,NA
POWER RANGERS,40.3,3,34,37,33,33,33,90,93,93,87,91,40,44,38,42,34,8,12,8,7,2,17,26,19,14,10,8,9,9,9,6,2017,41127,FAMILY,LIVE ACTION,LIONS GATE FILMS,PG-13,3/24/2017 1:00,3,3,1,40300288,50562170,3693,10913,2,NA,NA,85320527,NA
PRIDE AND PREJUDICE AND ZOMBIES,5.3,3,18,14,16,21,20,74,70,71,79,78,32,34,31,35,30,7,6,6,9,5,15,12,18,18,14,2,2,3,2,2,2016,62759,ACTION COMEDY,BLACK COMEDY,SONY SCREEN GEMS,PG-13,2/5/2016 0:00,2,3,1,5324240,6891197,2931,1817,6,SUPERBOWL,NA,10907291,NA
PRISONERS,20.8,3,18,18,18,17,21,73,69,80,67,76,44,44,46,41,43,9,9,9,8,10,23,26,27,14,26,NA,NA,NA,NA,NA,2013,43497,SUSPNS/THRILLER,CRIME THEME,WARNER BROS.,R,9/20/2013 1:00,9,3,1,20817053,27683932,3260,6386,1,NA,NA,60962878,NA
PROJECT ALMANAC,8.3,3,10,11,11,12,6,58,65,60,60,45,34,38,36,34,29,3,4,3,5,1,11,14,10,12,5,NA,NA,NA,NA,NA,2015,45025,SUSPNS/THRILLER,FAKE DOCUMENTARY/REA,PARAMOUNT,PG-13,1/30/2015 0:00,1,3,1,8310252,10428640,2893,2873,2,SUPERBOWL,NA,22331028,NA
PROMISED LAND (2012),4,3,8,7,8,8,9,54,48,59,45,62,23,21,22,19,29,2,1,3,0,3,3,1,4,2,5,NA,NA,NA,NA,NA,2013,43080,HUMN INTST DRMA,WORKPLACE SETTING,FOCUS FEATURES,R,1/4/2013 0:00,1,3,2,4049911,5259173,1676,2416,10,NA,2229,7556708,NA
QUEEN OF KATWE,2.5,3,4,3,4,4,6,47,42,48,44,55,30,31,24,30,34,1,0,1,3,1,4,1,3,4,4,0,0,0,0,0,2016,66781,HUMN INTST DRMA,SOCIAL ISSUES,DISNEY,PG,9/30/2016 1:00,9,3,2,2495427,3363627,1242,2009,7,NA,718,8864548,NA
R.I.P.D.,12.7,3,16,19,15,14,15,71,76,76,68,66,37,45,29,40,37,7,10,5,9,5,11,14,9,14,7,NA,NA,NA,NA,NA,2013,40303,ACTION COMEDY,CRIME THEME,UNIVERSAL,PG-13,7/19/2013 1:00,7,3,1,12691415,18494980,2852,4450,7,NA,NA,33592415,NA
RACE (2016),7.4,3,10,10,9,11,11,52,56,61,44,48,35,38,34,27,37,3,3,3,2,4,6,5,8,4,8,1,1,1,1,1,2016,49399,HUMN INTST DRMA,BIOGRAPHICAL,FOCUS FEATURES,PG-13,2/19/2016 0:00,2,3,1,7353922,9589622,2369,3104,6,NA,NA,19097994,NA
RATCHET & CLANK,4.9,3,12,14,12,12,10,54,58,60,46,50,35,41,32,36,32,3,5,4,4,2,9,14,8,8,5,2,2,2,1,2,2016,62718,FAMILY,ANIMATED,FOCUS FEATURES,PG,4/29/2016 1:00,4,3,1,4869278,5633633,2891,1684,7,NA,NA,8800908,NA
RED 2,18,3,20,19,21,19,22,74,75,86,62,75,37,38,38,27,39,8,8,10,3,9,9,8,13,4,10,NA,NA,NA,NA,NA,2013,41192,ACTION COMEDY,CRIME THEME,SUMMIT ENTERTAINMENT,PG-13,7/19/2013 1:00,7,3,1,18048422,25674356,3016,5984,5,NA,NA,53215979,NA
RESIDENT EVIL: THE FINAL CHAPTER,13.6,3,20,22,24,16,19,80,81,90,72,77,41,49,44,35,34,9,13,10,7,7,15,23,18,8,9,3,4,4,3,3,2017,44499,ACTION DRAMA,SCIENCE FICTION,SONY PICTURES,R,1/27/2017 0:00,1,3,1,13601682,17351775,3104,4382,4,NA,NA,26844692,NA
RICKI AND THE FLASH,6.6,3,8,8,6,7,11,50,46,50,41,61,26,22,22,26,31,4,1,1,4,9,5,2,2,4,8,2,0,1,1,3,2015,48313,HUMN INTST DRMA,ABOUT FAMILY,TRISTAR PICTURES,PG-13,8/7/2015 1:00,8,3,1,6610961,10085717,1603,4124,7,NA,NA,26822144,NA
RIDDICK,19,3,22,25,29,18,17,79,87,89,68,77,49,56,55,40,41,20,25,27,15,12,30,36,44,22,20,NA,NA,NA,NA,NA,2013,40120,ACTION DRAMA,SCIENCE FICTION,UNIVERSAL,R,9/6/2013 1:00,9,3,1,19030375,24266375,3107,6125,1,NA,NA,41997790,NA
RIDE ALONG,48.6,4,20,20,22,19,18,66,71,71,61,60,43,50,35,43,44,12,15,9,11,11,15,18,14,14,15,NA,NA,NA,NA,NA,2014,35394,ACTION COMEDY,ABOUT FAMILY,UNIVERSAL,PG-13,1/17/2014 0:00,1,4,1,48626380,54245310,2663,18260,1,MARTIN LUTHER KING,NA,134141530,NA
RIDE ALONG 2,41,4,26,27,25,26,26,83,84,78,83,84,44,52,37,46,43,11,15,8,11,11,20,22,15,24,19,7,8,6,7,8,2016,47769,ACTION COMEDY,ABOUT FAMILY,UNIVERSAL,PG-13,1/15/2016 0:00,1,4,1,41006705,46150040,3175,12915,1,MARTIN LUTHER KING,NA,90835030,NA
RINGS,13,3,22,23,20,26,19,72,73,74,70,70,34,36,34,36,30,6,6,3,8,6,12,13,8,12,12,3,4,1,5,3,2017,62521,HORROR,SUPERNATURAL,PARAMOUNT,PG-13,2/3/2017 0:00,2,3,1,13002632,15672286,2931,4436,2,SUPERBOWL,NA,27766716,NA
RIO 2,39.3,3,27,24,25,28,30,88,85,83,93,92,39,35,33,42,44,8,7,9,7,11,18,14,13,23,23,NA,NA,NA,NA,NA,2014,42421,FAMILY,ANIMATED,20TH CENTURY FOX,G,4/11/2014 1:00,4,3,1,39327869,52885380,3948,9961,2,NA,NA,131536019,NA
RISEN (2016),11.8,3,11,11,11,11,10,54,54,60,45,55,34,31,36,35,34,5,2,6,5,5,7,5,7,7,9,2,1,2,2,2,2016,63237,HUMN INTST DRMA,PERIOD,TRISTAR PICTURES,PG-13,2/19/2016 0:00,2,3,1,11801271,15703747,2915,4048,3,NA,NA,36874745,NA
ROBOCOP (2014),25.1,4,30,32,33,29,25,86,93,94,76,81,42,48,48,33,37,12,15,19,5,7,20,28,33,10,11,NA,NA,NA,NA,NA,2014,42094,ACTION DRAMA,SCIENCE FICTION,SONY PICTURES,PG-13,2/12/2014 0:00,2,4,1,25061581,34200106,3372,7432,3,PRESIDENT'S DAY,NA,58607007,NA
ROCK DOG,3.7,3,14,14,11,17,13,52,49,50,51,57,34,38,24,41,35,3,3,1,5,4,9,8,4,13,10,2,3,0,2,2,2017,65721,FAMILY,ANIMATED,LIONS GATE FILMS,PG,2/24/2017 0:00,2,3,1,3704749,4434298,2077,1784,11,NA,NA,9404922,NA
ROCK THE KASBAH,1.5,3,9,9,9,9,9,53,50,62,43,60,23,23,24,22,26,2,2,2,2,3,3,3,4,2,4,3,3,2,3,3,2015,47239,HUMN INTST CMDY,MUSIC-THEMED,OPEN ROAD FILMS,R,10/23/2015 1:00,10,3,1,1470592,2075771,2012,731,13,NA,NA,2982281,NA
ROGUE ONE: A STAR WARS STORY,155.1,3,42,45,47,41,35,87,89,92,86,83,64,71,70,58,51,31,38,40,28,22,43,54,53,34,31,20,23,27,17,15,2016,48479,ACTION ADVENTURE,SCIENCE FICTION,DISNEY,PG-13,12/16/2016 0:00,12,3,1,155081681,221999674,4157,37306,1,NA,NA,532171696,NA
ROUGH NIGHT,8,3,12,7,8,20,16,58,46,60,64,61,32,30,29,35,35,4,2,3,5,4,6,4,5,7,9,2,1,2,3,2,2017,67267,HUMN INTST CMDY,ENSEMBLE CAST,COLUMBIA PICTURES,R,6/16/2017 1:00,6,3,1,8004283,11934947,3162,2531,7,NA,NA,22092592,NA
RULES DON'T APPLY,1.6,3,3,2,4,4,3,46,43,44,48,51,25,28,23,28,24,2,1,2,1,3,2,2,2,1,3,0,0,0,0,0,2016,67044,ROMANTIC DRAMA,RELATIONSHIP,20TH CENTURY FOX,PG-13,11/23/2016 0:00,11,3,1,1589625,2767655,2382,667,12,THANKSGIVING,NA,3647836,NA
RUN ALL NIGHT,11,3,18,18,21,16,18,67,67,78,53,71,43,46,45,36,43,7,6,11,3,8,16,17,23,9,17,NA,NA,NA,NA,NA,2015,47558,SUSPNS/THRILLER,CRIME THEME,WARNER BROS.,R,3/13/2015 1:00,3,3,1,11012305,14606888,3171,3473,2,NA,NA,26442261,NA
RUNNER RUNNER,7.7,3,13,11,16,10,16,71,71,74,70,71,37,37,35,35,39,6,8,6,4,8,11,12,14,7,11,NA,NA,NA,NA,NA,2013,42719,SUSPNS/THRILLER,CRIME THEME,20TH CENTURY FOX,R,10/4/2013 1:00,10,3,1,7706712,10388958,3026,2547,3,NA,NA,19316646,NA
RUSH (2013),10,3,20,21,23,16,20,74,76,78,69,71,34,35,37,31,32,7,8,10,4,7,13,14,18,6,12,NA,NA,NA,NA,NA,2013,41356,HUMN INTST DRMA,BIOGRAPHICAL,UNIVERSAL,R,9/27/2013 1:00,9,3,2,10014920,13425410,2297,4360,3,NA,5247,26903709,NA
SABOTAGE,5.3,3,12,13,15,9,12,60,66,73,41,63,33,38,38,24,30,4,4,7,2,3,11,16,16,4,9,NA,NA,NA,NA,NA,2014,43151,ACTION DRAMA,CRIME THEME,OPEN ROAD FILMS,R,3/28/2014 1:00,3,3,1,5272444,6858585,2486,2121,7,NA,NA,10499968,NA
SAFE HAVEN,24.5,4,21,17,15,27,25,73,63,66,80,83,34,21,23,45,42,7,1,1,12,10,10,3,3,18,14,NA,NA,NA,NA,NA,2013,39935,ROMANTIC DRAMA,NA,RELATIVITY MEDIA,PG-13,2/14/2013 0:00,2,4,1,24469155,37461643,3223,7592,3,PRESIDENT'S DAY,NA,71346930,NA
SAME KIND OF DIFFERENT AS ME,2.6,3,2,2,3,1,3,38,41,38,27,41,31,30,30,31,32,2,2,1,1,2,3,2,3,2,5,0,0,1,0,0,2017,63081,HUMN INTST DRMA,REAL EVENTS,PURE FLIX ENTERTAINMENT,PG-13,10/20/2017 1:00,10,3,1,2591985,3524285,1362,1903,12,NA,NA,6417662,NA
SAN ANDREAS,54.6,3,28,29,31,26,27,86,90,91,81,81,50,51,57,41,49,16,18,19,9,15,24,25,30,16,25,12,11,16,7,13,2015,46797,ACTION ADVENTURE,DISASTER,WARNER BROS.,PG-13,5/29/2015 1:00,5,3,1,54588173,72626201,3777,14453,1,NA,NA,155181732,NA
SAUSAGE PARTY,34.3,3,25,28,22,29,22,76,81,74,83,68,49,57,45,51,41,10,14,9,11,6,16,21,17,18,8,6,7,7,7,3,2016,48545,ZANY COMEDY,ANIMATED,SONY PICTURES,R,8/12/2016 1:00,8,3,1,34263534,50001019,3103,11042,2,NA,NA,97661826,NA
SAVING MR. BANKS,9.3,3,16,15,14,17,20,77,69,79,77,83,37,30,32,37,46,8,3,4,10,15,10,6,8,10,18,NA,NA,NA,NA,NA,2013,42954,HUMN INTST DRMA,REAL EVENTS,DISNEY,PG-13,12/20/2013 0:00,12,3,2,9344381,23197131,2110,4429,5,NA,2161,83299761,NA
SCARY MOVIE 5,14.2,3,21,24,18,23,19,81,84,81,85,74,34,43,26,41,22,6,10,3,11,3,12,18,10,17,4,NA,NA,NA,NA,NA,2013,40207,ZANY COMEDY,SPOOF,THE WEINSTEIN COMPANY,PG-13,4/12/2013 1:00,4,3,1,14157367,16647592,3402,4161,2,NA,NA,32014289,NA
SCOUTS GUIDE TO THE ZOMBIE APOCALYPSE,1.8,3,7,9,7,7,5,57,71,53,58,48,34,38,33,34,27,2,5,2,2,1,6,11,5,4,4,1,2,1,1,0,2015,48544,ZANY COMEDY,BLACK COMEDY,PARAMOUNT,R,10/30/2015 1:00,10,3,1,1841007,2521219,1509,1220,12,NA,NA,3635292,NA
SECRET IN THEIR EYES,6.7,3,12,9,13,12,12,53,40,54,54,65,36,33,32,35,43,5,1,3,4,10,6,3,3,5,11,0,0,0,0,1,2015,62814,SUSPNS/THRILLER,MURDER INVESTIGATION,STX ENTERTAINMENT,PG-13,11/20/2015 0:00,11,3,1,6652996,9529039,2392,2781,5,NA,NA,20167424,NA
SELF/LESS,5.4,3,6,6,7,6,7,54,53,64,46,55,28,29,29,24,27,2,3,1,1,4,5,4,6,4,4,0,0,0,0,0,2015,45379,SUSPNS/THRILLER,MYSTERY,FOCUS FEATURES,PG-13,7/10/2015 1:00,7,3,1,5403460,8063157,2353,2296,8,NA,NA,12276810,NA
SELMA,11.3,3,18,17,17,18,22,66,57,72,60,72,34,29,34,36,38,10,6,10,10,15,13,9,11,13,18,NA,NA,NA,NA,NA,2015,48787,HUMN INTST DRMA,SOCIAL ISSUES,PARAMOUNT,PG-13,1/9/2015 0:00,1,3,3,11307394,15377081,2179,5189,2,NA,1686,52065634,NA
SEVENTH SON,7.2,3,14,16,16,11,12,67,68,76,57,67,39,45,42,35,33,5,7,6,4,3,12,12,18,9,11,NA,NA,NA,NA,NA,2015,40307,ACTION ADVENTURE,FANTASY,UNIVERSAL,PG-13,2/6/2015 0:00,2,3,1,7217640,9270440,2875,2510,4,NA,NA,17176900,NA
SEX TAPE,14.6,3,24,21,23,24,27,85,78,90,83,86,40,37,36,45,40,9,6,9,11,11,17,10,16,18,22,NA,NA,NA,NA,NA,2014,45038,HUMN INTST CMDY,ROAD FILM,SONY PICTURES,R,7/18/2014 1:00,7,3,1,14608152,20901532,3062,4771,4,NA,NA,38543473,NA
SHAUN THE SHEEP MOVIE,4,3,13,12,12,14,14,61,58,56,64,64,19,19,15,18,23,2,2,2,2,2,4,4,4,6,6,1,0,1,1,1,2015,46206,FAMILY,ANIMATED,LIONS GATE FILMS,PG,8/5/2015 1:00,8,3,1,4038962,8267271,2320,1741,11,NA,NA,19369813,NA
SHUT IN,3.6,3,11,9,10,14,11,55,51,47,61,58,36,38,32,39,33,4,3,2,6,4,9,9,5,11,10,0,0,0,0,0,2016,62957,SUSPNS/THRILLER,PSYCHOLOGICAL,EUROPACORP USA,PG-13,11/11/2016 0:00,11,3,1,3613567,4436645,2058,1756,7,NA,NA,6900335,NA
SICARIO,12.1,3,12,13,14,8,12,49,50,64,33,51,36,35,41,33,33,5,8,7,1,4,6,9,10,2,7,2,2,2,1,2,2015,62472,ACTION DRAMA,CRIME THEME,LIONS GATE FILMS,R,10/2/2015 1:00,10,3,3,12148041,16354721,2620,4637,3,NA,607,46875468,NA
SIDE EFFECTS (2013),9.3,3,11,9,10,13,13,65,59,65,66,73,35,34,29,39,38,5,3,5,5,7,9,8,11,7,11,NA,NA,NA,NA,NA,2013,41716,SUSPNS/THRILLER,PSYCHOLOGICAL,OPEN ROAD FILMS,R,2/8/2013 0:00,2,3,1,9303145,12820836,2605,3571,3,NA,NA,32154410,NA
SILENCE (2016),2.4,4,4,3,4,4,4,44,41,56,39,40,32,35,35,21,37,2,2,2,1,1,3,3,3,2,2,0,0,0,0,0,2017,49400,HUMN INTST DRMA,PERIOD,PARAMOUNT,R,1/13/2017 0:00,1,4,4,2374886,2926937,747,3179,16,MARTIN LUTHER KING,393,7078164,NA
SIN CITY: A DAME TO KILL FOR,6.3,3,17,17,19,17,17,75,73,85,63,78,41,45,49,29,37,11,9,19,5,10,13,10,24,6,11,NA,NA,NA,NA,NA,2014,26663,ACTION DRAMA,COP/DETECTIVE,THE WEINSTEIN COMPANY,R,8/22/2014 1:00,8,3,1,6317683,8591561,2894,2183,8,NA,NA,13750556,NA
SING (2016),54.9,4,36,35,28,42,40,83,82,77,86,88,49,46,37,59,51,10,6,6,18,13,16,8,9,24,19,11,7,6,16,15,2016,47097,FAMILY,ANIMATED,UNIVERSAL,PG,12/21/2016 0:00,12,4,1,54931630,123601490,4022,13658,2,CHRISTMAS,NA,270322940,NA
SINISTER 2,10.5,3,22,21,17,29,23,76,77,71,84,71,41,43,38,44,38,10,8,6,15,8,17,13,14,26,16,5,4,4,8,5,2015,48874,HORROR,SUPERNATURAL,FOCUS FEATURES,R,8/21/2015 1:00,8,3,1,10542116,13861602,2766,3811,3,NA,NA,27736779,NA
SISTERS (2015),13.9,3,23,15,18,29,28,77,67,72,84,84,41,32,28,58,44,9,5,2,18,13,14,7,9,24,16,4,2,3,9,4,2015,48202,HUMN INTST CMDY,ABOUT FAMILY,UNIVERSAL,R,12/18/2015 0:00,12,3,1,13922855,23266540,2962,4700,3,NA,NA,87028670,NA
SLEEPLESS,9.8,4,7,8,9,6,6,52,55,62,45,46,35,35,34,35,35,3,4,3,3,3,5,4,7,5,5,2,0,3,3,1,2017,65984,ACTION DRAMA,CRIME THEME,OPEN ROAD FILMS,R,1/13/2017 0:00,1,4,1,9771305,11486904,1803,5419,8,MARTIN LUTHER KING,NA,20757977,NA
SMURFS: THE LOST VILLAGE,13.2,3,26,24,21,27,30,85,80,87,85,90,34,33,29,41,34,6,4,6,7,7,11,8,8,16,13,4,3,2,6,6,2017,42543,FAMILY,ANIMATED,SONY PICTURES,PG,4/7/2017 1:00,4,3,1,13210449,18230759,3610,3659,3,NA,NA,45011202,NA
SNATCHED,19.5,3,20,13,15,26,26,75,66,74,75,83,35,32,29,38,43,8,2,5,9,15,20,9,15,22,31,4,1,3,6,6,2017,65238,HUMN INTST CMDY,ABOUT FAMILY,20TH CENTURY FOX,R,5/12/2017 1:00,5,3,1,19542248,25182600,3501,5582,2,NA,NA,45850343,NA
SNITCH,13.2,3,17,15,18,17,19,72,77,78,61,72,37,38,37,35,38,7,9,8,4,5,12,11,15,8,12,NA,NA,NA,NA,NA,2013,40741,SUSPNS/THRILLER,CRIME THEME,LIONS GATE FILMS,PG-13,2/22/2013 0:00,2,3,1,13167607,16710339,2511,5244,2,NA,NA,42919096,NA
SNOWDEN,8,3,15,18,16,11,15,73,76,81,63,74,38,43,42,33,32,8,10,12,4,4,18,26,23,12,10,3,4,5,2,2,2016,62343,HUMN INTST DRMA,BIOGRAPHICAL,OPEN ROAD FILMS,R,9/16/2016 1:00,9,3,1,8000058,10994226,2443,3275,4,NA,NA,21562346,NA
SON OF GOD,25.6,3,13,13,11,12,15,56,53,59,49,61,34,31,35,37,36,9,4,10,9,13,12,8,14,12,14,NA,NA,NA,NA,NA,2014,46349,HUMN INTST DRMA,SPIRITUALITY,20TH CENTURY FOX,PG-13,2/28/2014 0:00,2,3,1,25601865,31494895,3260,7853,2,NA,NA,59696176,NA
SOUTHPAW,16.7,3,16,19,20,12,14,70,72,77,58,72,29,32,30,23,30,5,5,5,3,7,8,11,10,3,8,3,3,5,2,3,2015,62445,HUMN INTST DRMA,SPORTS,THE WEINSTEIN COMPANY,R,7/24/2015 1:00,7,3,1,16701294,24057485,2772,6025,5,NA,NA,52418902,NA
SPECTRE,70.4,3,33,37,40,26,31,77,80,87,66,73,54,62,64,41,45,21,29,33,8,14,32,40,48,15,25,13,16,24,4,7,2015,45620,ACTION ADVENTURE,ESPIONAGE,SONY PICTURES,PG-13,11/6/2015 0:00,11,3,1,70403148,95300181,3929,17919,1,NA,NA,200074175,NA
SPIDER-MAN: HOMECOMING,117,3,49,54,50,46,46,97,98,98,94,97,58,71,60,54,51,24,30,32,18,14,42,48,48,34,35,21,27,24,17,15,2017,45616,ACTION ADVENTURE,CRIME THEME,COLUMBIA PICTURES,PG-13,7/7/2017 1:00,7,3,1,117027503,163070314,4348,26915,1,NA,NA,334198153,NA
SPLIT (2017),40,3,24,24,21,26,24,64,65,65,64,61,45,43,38,50,49,8,10,5,11,7,13,14,8,17,13,7,8,4,10,6,2017,63873,SUSPNS/THRILLER,PSYCHOLOGICAL,UNIVERSAL,PG-13,1/20/2017 0:00,1,3,1,40010975,51730090,3038,13170,1,NA,NA,138120085,NA
SPRING BREAKERS,4.9,3,9,7,9,11,7,55,56,52,63,51,29,34,22,39,19,4,5,2,8,0,10,12,7,17,4,NA,NA,NA,NA,NA,2013,42589,HUMN INTST DRMA,HOLIDAY/VACATION,A24 FILMS,R,3/22/2013 1:00,3,3,2,4858944,6893430,1104,4401,6,NA,1747,14123773,NA
SPY,29.1,3,25,27,23,23,27,78,76,79,73,84,42,38,39,44,46,10,8,7,9,15,13,11,10,12,20,6,5,6,5,8,2015,46618,ACTION COMEDY,ESPIONAGE,20TH CENTURY FOX,R,6/5/2015 1:00,6,3,1,29085719,40937244,3711,7838,1,NA,NA,110822419,NA
ST. VINCENT,7.7,3,10,9,10,9,11,55,50,61,47,61,32,30,33,30,34,5,4,5,6,5,6,4,8,5,7,NA,NA,NA,NA,NA,2014,41743,HUMN INTST CMDY,ABOUT FAMILY,THE WEINSTEIN COMPANY,PG-13,10/24/2014 1:00,10,3,3,7746596,10643920,2282,3395,6,NA,1064,44134898,NA
STAR TREK BEYOND,59.3,3,24,25,27,19,24,83,83,90,80,80,42,43,52,30,41,13,12,21,7,10,21,20,35,10,18,10,10,15,5,6,2016,62222,ACTION ADVENTURE,SCIENCE FICTION,PARAMOUNT,PG-13,7/22/2016 1:00,7,3,1,59253211,81720378,3928,15085,1,NA,NA,159134660,NA
STAR TREK INTO DARKNESS,70.2,3,35,33,42,32,34,87,88,93,83,84,52,54,66,42,43,22,21,36,15,16,34,32,53,26,25,NA,NA,NA,NA,NA,2013,36819,ACTION ADVENTURE,SCIENCE FICTION,PARAMOUNT,PG-13,5/16/2013 1:00,5,3,1,70165559,108826566,3868,18140,1,NA,NA,228756232,NA
STAR WARS: THE FORCE AWAKENS,248,3,63,62,68,61,60,98,98,100,97,97,70,77,80,58,65,43,48,56,35,35,51,54,66,40,44,46,51,53,40,40,2015,46563,ACTION ADVENTURE,SCIENCE FICTION,DISNEY,PG-13,12/18/2015 0:00,12,3,1,247966675,390856054,4134,59982,1,NA,NA,936660090,NA
STAR WARS: THE LAST JEDI,220,3,59,55,62,53,59,97,95,98,93,98,65,72,74,54,56,43,51,55,26,33,66,77,77,48,54,36,36,46,27,29,2017,63016,ACTION ADVENTURE,SCIENCE FICTION,DISNEY,PG-13,12/15/2017 0:00,12,3,1,220009584,383123946,4232,51987,1,NA,0,610795822,NA
STEP UP ALL IN,6.5,3,12,9,9,15,14,68,64,58,80,69,22,21,18,27,22,3,1,1,7,3,5,3,2,11,4,NA,NA,NA,NA,NA,2014,46790,ROMANTIC DRAMA,DANCE,LIONS GATE FILMS,PG-13,8/8/2014 1:00,8,3,1,6469857,9149334,2072,3123,6,NA,NA,14897578,NA
STEVE JOBS,7.1,3,16,16,15,15,17,87,88,94,76,87,32,35,35,24,35,8,7,11,4,9,9,9,15,5,10,3,4,3,3,3,2015,62579,HUMN INTST DRMA,BIOGRAPHICAL,UNIVERSAL,R,10/23/2015 1:00,10,3,3,7105735,9247875,2493,2850,7,NA,370,17750583,NA
STORKS,21.3,3,25,27,21,26,27,76,74,72,80,80,43,48,34,48,41,6,8,4,8,4,17,17,13,22,15,4,6,2,4,4,2016,63430,FAMILY,ANIMATED,WARNER BROS.,PG,9/23/2016 1:00,9,3,1,21311407,25011274,3922,5434,2,NA,NA,72655779,NA
STRAIGHT OUTTA COMPTON,60.2,3,21,20,23,22,18,79,80,80,78,78,49,53,49,51,44,19,21,19,20,17,26,26,24,31,21,10,10,11,12,9,2015,48699,HUMN INTST DRMA,BIOGRAPHICAL,UNIVERSAL,R,8/14/2015 1:00,8,3,1,60200180,84723470,2757,21835,1,NA,NA,161029270,NA
